logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.020028496388398344e+04 -1.020627767817067433e+04 1.895000000000000018e+00
-1.020627767817067433e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -8.457007244174463267e+03 -8.463002458461154674e+03 4.000000000000000083e-02
-8.463002458461154674e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.731145773134984665e+03 -7.737143487421675673e+03 1.080000000000000071e+00
-7.737143487421675673e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -7.439008100508501229e+03 -7.445008314795192746e+03 2.750000000000000222e-01
-7.445008314795192746e+03 2.879630070569635336e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -6.782420866983013184e+03 -6.788423581269704300e+03 5.600000000000000533e-01
-6.788423581269704300e+03 3.873195668226194357e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -6.766017959122899811e+03 -6.772023173409591436e+03 6.300000000000000044e-01
-6.772023173334187959e+03 8.366196441140452578e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -6.753210761020927748e+03 -6.759218475307618974e+03 1.419999999999999929e+00
-6.759218472559789916e+03 1.093561410123420252e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -6.681947612522094460e+03 -6.687957826808786194e+03 2.550000000000000044e-01
-6.687957826808786194e+03 3.454258204786416542e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -6.660956357878363633e+03 -6.666969072165054968e+03 1.159999999999999920e+00
-6.666969072164288264e+03 2.481345068574588808e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -6.481792644405008105e+03 -6.487807858691699039e+03 3.150000000000000022e-01
-6.487807858691699039e+03 8.731305777797732048e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -6.396366413458747957e+03 -6.402384127745439400e+03 6.400000000000000133e-01
-6.402384127745439400e+03 1.108231242109348926e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -6.106023098084207049e+03 -6.112043312370898093e+03 4.500000000000000111e-01
-6.112043312370898093e+03 1.486920354588937698e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -6.035967037431501922e+03 -6.041989751718193475e+03 2.750000000000000222e-01
-6.041989751718193475e+03 1.215786708932840838e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -5.916665326388881113e+03 -5.922690540675572265e+03 3.350000000000000200e-01
-5.922690540675572265e+03 1.375321504647883444e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -5.835876094237417419e+03 -5.841903808524109081e+03 1.550000000000000044e+00
-5.841903808524109081e+03 1.863798148411620161e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -5.650224781192801856e+03 -5.656254995479493118e+03 1.375000000000000000e+00
-5.656254995479493118e+03 1.589067344385778995e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -5.629955907664621918e+03 -5.635988621951312780e+03 6.600000000000000311e-01
-5.635988621949733897e+03 5.677668568335514721e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -5.550972512282067328e+03 -5.557007726568758699e+03 3.449999999999999734e-01
-5.557007726568758699e+03 7.389099124623585624e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -5.541909953347260853e+03 -5.547947667633951824e+03 7.650000000000000133e-01
-5.547947551424576886e+03 3.231431134888455858e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -5.465544297361811914e+03 -5.471584511648503394e+03 7.199999999999999734e-01
-5.471584511648503394e+03 4.785361226681710889e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -5.423619025203654928e+03 -5.429661739490346008e+03 9.799999999999999822e-01
-5.429661739490346008e+03 5.587663701571403152e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -5.380017038526945726e+03 -5.386062252813637315e+03 1.169999999999999929e+00
-5.386062252813637315e+03 2.766262153779160826e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -5.299734115344352176e+03 -5.305781829631043365e+03 5.150000000000000133e-01
-5.305781829631043365e+03 4.309164971641362740e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -5.298653297896501499e+03 -5.304703512183193197e+03 1.820000000000000062e+00
-5.304410717656292945e+03 2.349555284223577445e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -5.298573033091880461e+03 -5.304625747378571759e+03 1.330000000000000071e+00
-5.303819316715050263e+03 2.362461793529009313e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -5.260665730704940870e+03 -5.266720944991631768e+03 3.800000000000000044e-01
-5.266720944991631768e+03 3.364577066897238211e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -5.220764904626827956e+03 -5.226822618913519364e+03 1.530000000000000027e+00
-5.226822618913519364e+03 5.031032847138218500e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -5.134742697027836584e+03 -5.140802911314527591e+03 1.235000000000000098e+00
-5.140802911314527591e+03 8.380702685082823677e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -5.128251015106620798e+03 -5.134313729393312315e+03 1.419999999999999929e+00
-5.134312210755218075e+03 8.071486582082768280e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -5.013196242424643970e+03 -5.019261456711335086e+03 2.000000000000000000e+00
-5.019261456711335086e+03 7.030527459901277609e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -4.957048567747783636e+03 -4.963116282034475262e+03 1.125000000000000000e+00
-4.963116282034475262e+03 9.643487764251143801e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -4.875458348875115007e+03 -4.881528563161806233e+03 4.000000000000000222e-01
-4.881528563161806233e+03 1.028798835116065931e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -4.805395290993580602e+03 -4.811468005280272337e+03 1.209999999999999964e+00
-4.811468005280272337e+03 9.416933728723944341e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -4.745776612591297635e+03 -4.751851826877988969e+03 1.810000000000000053e+00
-4.751851826877988969e+03 1.068287489375338026e+02 -8.500000000000003386e-02 4.000000000000000000e+02 -4.718876104348262743e+03 -4.724953818634953677e+03 8.299999999999999600e-01
-4.724953818634951858e+03 4.293404044575986944e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -4.664116096383504555e+03 -4.670196310670195999e+03 6.800000000000000488e-01
-4.670196310670195999e+03 3.358354797009427273e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -4.611623631202456636e+03 -4.617706345489147679e+03 3.300000000000000155e-01
-4.617706345489147679e+03 5.669704290337922714e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -4.604688169921145345e+03 -4.610773384207836898e+03 3.900000000000000133e-01
-4.610772409573930418e+03 2.413283228996027319e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -4.590220022124108255e+03 -4.596307736410799407e+03 1.909999999999999920e+00
-4.596307735888316529e+03 8.170101449522364945e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -4.546390842598570089e+03 -4.552481056885261751e+03 1.375000000000000000e+00
-4.552481056885261751e+03 2.302762804181039868e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -4.464255378669419770e+03 -4.470348092956111032e+03 1.860000000000000098e+00
-4.470348092956111032e+03 4.320671760232924896e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -4.463177104111318840e+03 -4.469272318398009702e+03 3.250000000000000111e-01
-4.468978877810642189e+03 2.279513295007778950e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -4.356910221169894612e+03 -4.363007935456585983e+03 2.149999999999999967e-01
-4.363007935456585983e+03 6.233114350825528049e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -4.275752700508859562e+03 -4.281852914795550532e+03 1.020000000000000018e+00
-4.281852914795550532e+03 8.669819838651160637e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -4.275050128967433920e+03 -4.281152843254125401e+03 8.050000000000000488e-01
-4.280749680942992200e+03 5.163634642870743363e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -4.232667321481349063e+03 -4.238772535768040143e+03 5.550000000000000488e-01
-4.238772535768040143e+03 6.211246926273343405e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -4.213047772507534319e+03 -4.219155486794225908e+03 1.405000000000000027e+00
-4.219155486791202748e+03 1.825729154605464899e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -4.154937439054218885e+03 -4.161047653340910074e+03 1.409999999999999920e+00
-4.161047653340910074e+03 2.506289974293435208e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -4.154260622957180203e+03 -4.160373337243871902e+03 1.889999999999999902e+00
-4.159961555624794528e+03 2.114010921462753956e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -4.136845026658916140e+03 -4.142960240945607438e+03 2.600000000000000089e-01
-4.142960240904262719e+03 7.976083727361185538e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -4.092387913092188228e+03 -4.098505627378879581e+03 1.900000000000000022e-01
-4.098505627378879581e+03 2.580361774921060913e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -4.058174705062030171e+03 -4.064294919348721578e+03 4.149999999999999800e-01
-4.064294919348721578e+03 3.533753478128215875e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -4.048712541381787105e+03 -4.054835255668478567e+03 4.600000000000000200e-01
-4.054835177738718357e+03 1.661577493706464281e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -4.044229196488498928e+03 -4.050354410775190445e+03 1.229999999999999982e+00
-4.050343149695652301e+03 1.830316928449649083e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -4.042945290830190970e+03 -4.049073005116882086e+03 1.600000000000000089e+00
-4.048825527243557644e+03 1.820150750891396330e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -4.040748945074605217e+03 -4.046879159361296388e+03 3.449999999999999734e-01
-4.046745685173865695e+03 1.679691247866675674e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -4.036729940903703209e+03 -4.042862655190394435e+03 7.249999999999999778e-01
-4.042842275917407278e+03 2.623070118772393933e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -4.008615672452937361e+03 -4.014750886739628640e+03 1.340000000000000080e+00
-4.014750886739628186e+03 1.412417340089759854e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -3.961245839060106846e+03 -3.967383553346798180e+03 2.750000000000000222e-01
-3.967383553346798180e+03 2.077764414529212900e+01 -1.475000000000000755e-01 4.000000000000000000e+02 -3.940148426748814018e+03 -3.946288641035505407e+03 2.399999999999999911e-01
-3.946288641034816010e+03 1.979773251587550220e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -3.925516416170911725e+03 -3.931659130457603169e+03 1.040000000000000036e+00
