logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -9.442448833333550283e+03 -9.448441547620241181e+03 2.500000000000000139e-02
-9.448441547620241181e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -8.553441756783098754e+03 -8.559436971069790161e+03 1.225000000000000089e+00
-8.559436971069790161e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.654173518742226406e+03 -7.660171233028917413e+03 1.199999999999999956e-01
-7.660171233028917413e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -6.891836610167859362e+03 -6.897836824454550879e+03 1.030000000000000027e+00
-6.897836824454550879e+03 nan -1.000000000000000021e-02 4.000000000000000000e+02 -6.358612812709206992e+03 -6.364615526995898108e+03 1.949999999999999956e+00
-6.364615526995898108e+03 nan -1.250000000000000069e-02 4.000000000000000000e+02 -6.007678991080433661e+03 -6.013684205367125287e+03 7.399999999999999911e-01
-6.013684205367125287e+03 nan -1.500000000000000118e-02 4.000000000000000000e+02 -5.970997786377848570e+03 -5.977005500664539795e+03 9.100000000000000311e-01
-5.977005500664539795e+03 9.766382807709840463e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -5.695088089076853066e+03 -5.701098303363544801e+03 6.199999999999999956e-01
-5.701098303363544801e+03 1.361973021597925140e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -5.670838484230666836e+03 -5.676851198517358171e+03 3.049999999999999933e-01
-5.676851198517329067e+03 1.286817429531060384e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -5.595618667466807892e+03 -5.601633881753498827e+03 9.899999999999999911e-01
-5.601633881753498827e+03 3.953124919020967099e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -5.572274065608318779e+03 -5.578291779895010222e+03 6.250000000000000000e-01
-5.578291779894937463e+03 4.210429331370281858e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -5.305004236513231263e+03 -5.311024450799922306e+03 1.375000000000000000e+00
-5.311024450799922306e+03 1.190262121212292925e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -5.274542519078995610e+03 -5.280565233365687163e+03 1.375000000000000000e+00
-5.280565233365687163e+03 1.107995463729345431e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -5.168661537398930705e+03 -5.174686751685621857e+03 1.225000000000000089e+00
-5.174686751685621857e+03 5.388334389255739154e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -5.128738748243249574e+03 -5.134766462529941236e+03 5.600000000000000533e-01
-5.134766462529941236e+03 5.833912273399661075e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -4.976128088991368713e+03 -4.982158303278059975e+03 2.250000000000000056e-01
-4.982158303278059975e+03 9.496978729381663697e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -4.944599638005806810e+03 -4.950632352292497671e+03 4.650000000000000244e-01
-4.950632352292497671e+03 8.386280132673878995e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -4.884561546127002657e+03 -4.890596760413694028e+03 4.400000000000000022e-01
-4.890596760413694028e+03 8.653671784336050621e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -4.823548717948314334e+03 -4.829586432235005304e+03 1.155000000000000027e+00
-4.829586432235005304e+03 8.607848241024679226e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -4.770201140390559885e+03 -4.776241354677251366e+03 1.449999999999999900e-01
-4.776241354677251366e+03 9.854160720011388719e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -4.702890068063935360e+03 -4.708932782350626439e+03 7.700000000000000178e-01
-4.708932782350626439e+03 1.211460170633043418e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -4.700932700346731508e+03 -4.706977914633423097e+03 1.030000000000000027e+00
-4.706845498558616782e+03 1.190581182320660787e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -4.639228334620931491e+03 -4.645276048907622680e+03 1.800000000000000044e+00
