logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -6.900533430482709264e+03 -6.906526144769400162e+03 9.449999999999999512e-01
-6.906526144769400162e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.655648881649869509e+03 -6.661644095936560916e+03 5.400000000000000355e-01
-6.661644095936560916e+03 1.061298147067147681e+02 -5.000000000000000104e-03 4.000000000000000000e+02 -6.650219020231269496e+03 -6.656216734517960504e+03 1.135000000000000009e+00
-6.656212349470122717e+03 2.301284672484870342e+00 -7.499999999999999722e-03 4.000000000000000000e+02 -6.460859462047858869e+03 -6.466859676334550386e+03 1.729999999999999982e+00
-6.466859676334550386e+03 8.960368238914244898e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -6.054799178704172846e+03 -6.060801892990863962e+03 1.395000000000000018e+00
-6.060801892990863962e+03 2.872665488578989539e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -5.875626369963831166e+03 -5.881631584250522792e+03 8.549999999999999822e-01
-5.881631584250522792e+03 2.808734910226228862e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -5.792640482726559640e+03 -5.798648197013250865e+03 1.050000000000000044e+00
-5.798648197013250865e+03 2.410832609079110682e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -5.766091240667482452e+03 -5.772101454954174187e+03 8.850000000000000089e-01
-5.772101454954171459e+03 2.473746481482830575e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -5.637001531107183837e+03 -5.643014245393875171e+03 1.860000000000000098e+00
-5.643014245393875171e+03 1.186579570018537026e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -5.546844440223027050e+03 -5.552859654509717984e+03 5.150000000000000133e-01
-5.552859654509717984e+03 1.397928950992581463e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -5.391516402032427322e+03 -5.397534116319118766e+03 1.044999999999999929e+00
-5.397534116319118766e+03 6.705313751266136535e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -5.347798127285718692e+03 -5.353818341572409736e+03 8.999999999999999667e-02
-5.353818341572409736e+03 1.683096860451173526e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -5.065847958840131469e+03 -5.071870673126823021e+03 7.000000000000000666e-02
-5.071870673126823021e+03 1.330154151221906886e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -5.053472916778436229e+03 -5.059498131065127382e+03 8.750000000000000000e-01
-5.059498126831892478e+03 1.266897859269048183e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -5.049823074874266240e+03 -5.055850789160957902e+03 6.500000000000000222e-01
-5.055825062529090246e+03 1.099577346912276283e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -5.036695774874237031e+03 -5.042725989160928293e+03 3.049999999999999933e-01
-5.042725987113803967e+03 7.021717877764714011e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -5.000241115226125658e+03 -5.006273829512816519e+03 4.249999999999999889e-01
-5.006273829512816519e+03 2.134603287966287155e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -4.860315215488908507e+03 -4.866350429775599878e+03 2.999999999999999889e-02
-4.866350429775599878e+03 8.289937308672972449e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -4.732345996278837447e+03 -4.738383710565528418e+03 1.814999999999999947e+00
-4.738383710565528418e+03 1.091251846113898409e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -4.433791923502755708e+03 -4.439832137789447188e+03 6.400000000000000133e-01
-4.439832137789447188e+03 2.418458859295841989e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -4.389347784840514578e+03 -4.395390499127205658e+03 8.649999999999999911e-01
-4.395390499127205658e+03 2.167110212851220012e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -4.355629072812376762e+03 -4.361674287099068351e+03 6.550000000000000266e-01
-4.361674287099068351e+03 2.130015086250208753e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -4.278782177917947593e+03 -4.284829892204638782e+03 4.199999999999999845e-01
-4.284829892204638782e+03 1.519377911466337139e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -4.229307739058000152e+03 -4.235357953344691850e+03 1.020000000000000018e+00
-4.235357953344691850e+03 1.715935667869578367e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -3.967195495331805887e+03 -3.973248209618497185e+03 1.499999999999999944e-02
