logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -6.894990523053773359e+03 -6.900983237340464257e+03 9.350000000000000533e-01
-6.900983237340464257e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.654335954963819859e+03 -6.660331169250511266e+03 5.400000000000000355e-01
-6.660331169250511266e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.638256913300424458e+03 -6.644254627587115465e+03 1.139999999999999902e+00
-6.644254627482872820e+03 7.369217463912221433e+00 -7.499999999999999722e-03 4.000000000000000000e+02 -6.459758401040082390e+03 -6.465758615326773906e+03 1.735000000000000098e+00
-6.465758615326773906e+03 7.781577889981841167e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -6.057186717518426121e+03 -6.063189431805117238e+03 1.385000000000000009e+00
-6.063189431805117238e+03 2.154291948571394073e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -5.862625872584484569e+03 -5.868631086871176194e+03 8.499999999999999778e-01
-5.868631086871176194e+03 2.503438305830377146e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -5.796769601063115260e+03 -5.802777315349806486e+03 1.070000000000000062e+00
-5.802777315349806486e+03 1.892331158279333181e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -5.761354749119172084e+03 -5.767364963405863818e+03 8.850000000000000089e-01
-5.767364963405863818e+03 1.918904390316550064e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -5.633820091056191814e+03 -5.639832805342883148e+03 1.860000000000000098e+00
-5.639832805342883148e+03 2.258673864688300057e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -5.543750886942294528e+03 -5.549766101228985463e+03 5.100000000000000089e-01
-5.549766101228985463e+03 8.464835251616767664e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -5.393126119985505284e+03 -5.399143834272196727e+03 1.044999999999999929e+00
-5.399143834272196727e+03 1.259868372699578316e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -5.348674648498527858e+03 -5.354694862785218902e+03 8.500000000000000611e-02
-5.354694862785218902e+03 7.844755439040221745e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -5.060047217563645972e+03 -5.066069931850337525e+03 8.500000000000000611e-02
-5.066069931850337525e+03 1.897644991673525681e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -5.052659549824670648e+03 -5.058684764111361801e+03 8.699999999999999956e-01
-5.058684143917130314e+03 8.133912879319699130e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -5.050161370754196469e+03 -5.056189085040888131e+03 6.600000000000000311e-01
-5.056109819624962256e+03 8.226237871142046743e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -5.047095451883039459e+03 -5.053125666169730721e+03 3.099999999999999978e-01
-5.053076321582505443e+03 8.306841274651118567e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -4.996078486683734809e+03 -5.002111200970425671e+03 4.600000000000000200e-01
-5.002111200970425671e+03 2.481698329854177487e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -4.838245376524405401e+03 -4.844280590811096772e+03 2.999999999999999889e-02
-4.844280590811096772e+03 8.879262483189653210e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -4.735079871269055729e+03 -4.741117585555746700e+03 1.814999999999999947e+00
-4.741117585555746700e+03 1.034852494372369307e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -4.428924356312985765e+03 -4.434964570599677245e+03 6.500000000000000222e-01
-4.434964570599677245e+03 1.444149105351433207e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -4.372052657956315670e+03 -4.378095372243006750e+03 8.549999999999999822e-01
-4.378095372243006750e+03 1.317027692808386519e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -4.356107836690038312e+03 -4.362153050976729901e+03 6.500000000000000222e-01
-4.362153050857513335e+03 1.039762350358112997e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -4.266926269229816171e+03 -4.272973983516507360e+03 4.199999999999999845e-01
-4.272973983516507360e+03 1.263215314259189341e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -4.225211578400749204e+03 -4.231261792687440902e+03 1.014999999999999902e+00
-4.231261792687440902e+03 4.861195481581974320e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -3.967618323444180533e+03 -3.973671037730871831e+03 1.499999999999999944e-02
-3.973671037730871831e+03 1.480415666821086518e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -3.877242394602214063e+03 -3.883297608888905415e+03 3.300000000000000155e-01
-3.883297608888905415e+03 1.088158221855567120e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -3.876234764985032598e+03 -3.882292479271724005e+03 5.500000000000000444e-01
-3.881980594566064610e+03 1.082833920870850903e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -3.873121003386340362e+03 -3.879181217673031824e+03 9.799999999999999822e-01
-3.879122149117158187e+03 1.653068916151575252e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -3.842835232502557574e+03 -3.848897946789249090e+03 4.650000000000000244e-01
-3.848897946789249090e+03 1.562604137740312460e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -3.828320963628596928e+03 -3.834386177915288044e+03 1.909999999999999920e+00
-3.834386177416841292e+03 1.693654739423559974e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -3.807591612540847109e+03 -3.813659326827538280e+03 1.479999999999999982e+00
-3.813659326826541928e+03 2.408772108068907869e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -3.783192006103103267e+03 -3.789262220389794493e+03 1.344999999999999973e+00
-3.789262220389769027e+03 2.641964512817805044e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -3.687318369570454706e+03 -3.693391083857145986e+03 1.814999999999999947e+00
-3.693391083857145986e+03 5.177958786707449690e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -3.636617965812471084e+03 -3.642693180099162419e+03 1.925000000000000044e+00
-3.642693180099162419e+03 5.776493892641516936e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -3.627374027494654911e+03 -3.633451741781346300e+03 4.949999999999999956e-01
-3.633451644847982152e+03 2.958849632943761243e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -3.562254432202231783e+03 -3.568334646488923227e+03 1.780000000000000027e+00
-3.568334646488923227e+03 2.955038645735024261e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -3.557276008142894170e+03 -3.563358722429585669e+03 1.830000000000000071e+00
-3.563351844002293092e+03 2.216421571169762128e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -3.528873595178512915e+03 -3.534958809465204013e+03 1.510000000000000009e+00
-3.534958809465203558e+03 1.466485424992630726e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -3.442095847197452713e+03 -3.448183561484143866e+03 1.949999999999999956e+00
-3.448183561484143866e+03 4.838947961223418304e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -3.436539647185508784e+03 -3.442629861472199991e+03 1.950000000000000067e-01
-3.442625995853159566e+03 2.533811364700024882e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -3.402595667357897128e+03 -3.408688381644588389e+03 2.349999999999999867e-01
-3.408688381644588389e+03 1.547871630214094729e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -3.399712930827157379e+03 -3.405808145113848695e+03 1.350000000000000089e+00
-3.405753541890856468e+03 9.608938489029883456e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -3.352579602169878854e+03 -3.358677316456570225e+03 1.000000000000000056e-01
-3.358677316456570225e+03 2.259937043852352190e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -3.330760428751935251e+03 -3.336860643038626677e+03 1.050000000000000044e+00
-3.336860643038291528e+03 1.071975161688984812e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -3.304756671299850495e+03 -3.310859385586541975e+03 4.500000000000000111e-01
-3.310859385586536973e+03 1.835463086936678323e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -3.281792966188095306e+03 -3.287898180474786841e+03 6.700000000000000400e-01
-3.287898180474679975e+03 2.270801584035426046e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -3.257843702624021716e+03 -3.263951416910712851e+03 1.870000000000000107e+00
-3.263951416910672833e+03 3.043980826830638975e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -3.241833816218646007e+03 -3.247944030505337196e+03 3.300000000000000155e-01
-3.247944030393630328e+03 5.777015024909975871e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -3.228053562321964364e+03 -3.234166276608655608e+03 1.840000000000000080e+00
-3.234166275570177731e+03 5.956905109797565601e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -3.204809353555228427e+03 -3.210924567841919725e+03 1.849999999999999978e-01
-3.210924567841839234e+03 1.277392652171896259e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -3.192245824273367361e+03 -3.198363538560058714e+03 2.600000000000000089e-01
-3.198363535054045769e+03 1.275828831553641152e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -3.190232967858165011e+03 -3.196353182144856419e+03 2.750000000000000222e-01
-3.196227482618860449e+03 1.051273911967209429e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -3.161770418575384156e+03 -3.167893132862075618e+03 3.649999999999999911e-01
-3.167893132862075163e+03 1.085423647713779083e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -3.132377334715080906e+03 -3.138502549001772422e+03 1.659999999999999920e+00
-3.138502549001772422e+03 1.429391896775780779e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -3.126243011038831355e+03 -3.132370725325522471e+03 4.499999999999999833e-02
-3.132368555067038869e+03 1.552235085146429405e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -3.099564102880922292e+03 -3.105694317167613463e+03 1.794999999999999929e+00
-3.105694317167610734e+03 2.041994935790696530e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -3.078579820419827229e+03 -3.084712534706518454e+03 1.314999999999999947e+00
-3.084712534705746293e+03 5.766862861538103679e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -3.049058608304895643e+03 -3.055193822591586922e+03 1.360000000000000098e+00
-3.055193822591586922e+03 1.617678909572980928e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -3.048332819565709997e+03 -3.054470533852401331e+03 1.060000000000000053e+00
-3.054075015325146978e+03 1.810727501415579477e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -3.027395049214156188e+03 -3.033535263500847577e+03 3.200000000000000067e-01
-3.033535263499646135e+03 1.042048498744699359e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -3.009563757722089122e+03 -3.015706472008780565e+03 1.689999999999999947e+00
-3.015706471990706632e+03 1.476842499906626749e+01 -1.525000000000000799e-01 4.000000000000000000e+02 -2.995309766512341866e+03 -3.001454980799033365e+03 2.899999999999999800e-01
-3.001454980152403550e+03 9.750204532249551193e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -2.994942056568505905e+03 -3.001089770855197003e+03 1.885000000000000009e+00
-3.000562647933180415e+03 1.071288262593892870e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -2.965389518306210903e+03 -2.971539732592902055e+03 6.750000000000000444e-01
-2.971539732592901601e+03 1.327370301842569589e+01 -1.600000000000000866e-01 4.000000000000000000e+02 -2.956859755335871341e+03 -2.963012469622562548e+03 1.830000000000000071e+00
-2.963012271646010959e+03 1.061100424554338595e+01 -1.625000000000000888e-01 4.000000000000000000e+02 -2.897880199358196933e+03 -2.904035413644888195e+03 7.600000000000000089e-01
-2.904035413644888195e+03 3.611510328880371645e+01 -1.650000000000000910e-01 4.000000000000000000e+02 -2.881625201528441721e+03 -2.887782915815133038e+03 1.479999999999999982e+00
-2.887782915727709224e+03 2.813467348292973469e+01 -1.675000000000000933e-01 4.000000000000000000e+02 -2.876105615782209043e+03 -2.882265830068900414e+03 7.199999999999999734e-01
-2.882261820578283732e+03 3.033517078320559435e+01 -1.700000000000000955e-01 4.000000000000000000e+02 -2.870097832035120973e+03 -2.876260546321812399e+03 1.445000000000000062e+00
-2.876258073785429133e+03 7.783477002499157749e+00 -1.725000000000000977e-01 4.000000000000000000e+02 -2.810705470217673337e+03 -2.816870684504364817e+03 1.030000000000000027e+00
-2.816870684504364817e+03 2.686005390448077534e+01 -1.750000000000000999e-01 4.000000000000000000e+02 -2.795264406695408525e+03 -2.801432120982100059e+03 4.949999999999999956e-01
-2.801432120784804738e+03 2.736171759202090925e+01 -1.775000000000001021e-01 4.000000000000000000e+02 -2.785243774623831541e+03 -2.791413988910522676e+03 1.415000000000000036e+00
-2.791413944327354329e+03 7.688089260315473794e+00 -1.800000000000001044e-01 4.000000000000000000e+02 -2.770128971812360760e+03 -2.776301686099051949e+03 8.500000000000000611e-02
