index,total_counts,soft_counts,soft_frac,sigma_eff_marginal,sigma_eff_conditional,absorbed_fraction_I,bnorm2,R_residual_power,sigma_post_pred,shrink_pred,min_prior_edge_margin,kT_ceiling_margin_frac_range,kT_ceiling_margin_frac_value,rank_deficient,already_run_ns,theta_tbabs_1_nh,theta_powerlaw_1_alpha,theta_powerlaw_1_norm,theta_blackbodyrad_1_kT,theta_blackbodyrad_1_norm
10,1868,916,0.49036,0.10936537144223253,0.025655702264965895,0.9449689056498656,1519.260288517265,83.60655627980606,0.027911555271104095,0.9668846369563832,0.08322154959781568,0.804642038883306,0.7241778349949755,False,False,0.2672810268795519,2.410392750928273,0.0005915452814860189,0.8274664950150739,0.014670438637778779
11,27675,2005,0.07245,0.09818473195974046,0.0057006475713599885,0.9966289866877878,30771.708854850993,103.73184018922178,0.027695286612632413,0.9593928708652288,0.16028042927356378,0.281682320530659,0.2535140884775931,False,False,0.29439660110232646,2.3721583354341145,0.0006216764650363206,2.2394577345672206,0.47801237663311535
12,56029,4747,0.08472,0.05661877153914005,0.004133204883266605,0.9946709108791355,58536.41652835174,311.9457804956318,0.02571768610899125,0.890886779877623,0.10118452962716562,0.12141576220290624,0.10927418598261562,False,False,0.3099341922409682,2.108559222885417,0.0023061973357931336,2.672177442052153,0.6275248675985853
13,981,364,0.37105,0.19935413359255374,0.06524921401656335,0.8928727198256515,234.8818348248885,25.16225212715087,0.028569536606284317,0.9896777790156661,0.020774270285099306,0.4628585830965272,0.4165727247868745,False,False,0.2634953602191295,2.2577631527918958,0.0002006357481473991,1.7502818256393764,0.011003948282249343
14,34837,17447,0.50082,0.03187386764942468,0.006634901725284262,0.9566689254370179,22715.955584415344,984.3067651976916,0.021396521997836933,0.7411972641103735,0.007846293255422333,0.5231261064328618,0.4708134957895757,False,False,0.19886570787038937,2.270409293133552,0.009645115073888683,1.587559512631273,0.014694798294549687
15,9320,2824,0.303,0.07819590363333802,0.01202125711969957,0.9763662973510626,6919.906516585404,163.5430129714235,0.027081054977297236,0.938115262864896,0.022227321227686437,0.8015296700868829,0.7213767030781947,False,False,0.2501985475881197,1.9034171695113602,0.0015191314009535943,0.8358698907654161,0.9027039805961359
16,20028,2942,0.14689,0.10390032017568668,0.009621037555362151,0.991425475451039,10803.293628970861,92.63310643124478,0.027813930340926763,0.9635028101733331,0.009765104493215822,0.009765104493215822,0.008788594043894241,False,False,0.1927165035935967,1.1991673248076244,0.0015960090973170908,2.9736342178683173,0.10532349769742387
17,30752,2102,0.06835,0.09215287480786022,0.005307999599394603,0.9966822474874973,35492.63453211434,117.75577739426096,0.027547521806498474,0.954274147829338,0.11808379205943688,0.30588718547867394,0.27529846693080656,False,False,0.30603202838121346,2.6799023675058837,0.0005946890465538054,2.1741045992075803,0.5805403573005091
18,1941,341,0.17568,0.2534365820048415,0.03338746178748776,0.9826448567641984,897.084167723508,15.569024225411315,0.02868204994276675,0.9935753553219995,0.12349016215558117,0.4205487887479661,0.3784939098731695,False,False,0.2326764701727374,1.6733342430573444,0.00017659578122472698,1.8645182703804914,0.033424599682051526
19,5335,1642,0.30778,0.08953750209509988,0.023672363707162043,0.9301006236510005,1784.5008140580635,124.73549399694048,0.0274748552904471,0.9517569058731379,0.2859259842989768,0.45769020302295865,0.4119211827206628,False,False,0.27735797106011506,1.9437363712917397,0.001130247394870515,1.7642364518380116,0.037312295533066524
20,73201,2635,0.036,0.10851629166345308,0.0028480012531727043,0.9993112042420241,123287.67082305558,84.92002467364594,0.027897285776260574,0.9663903271550367,0.017371887960077152,0.11020122323007613,0.09918110090706851,False,False,0.3175618166130701,1.9626243764669498,0.00013495406011353701,2.7024566972787945,0.9231158843595679
21,15436,4127,0.26736,0.06615743352313831,0.012599070987081065,0.9637323223004475,6299.744763659302,228.47711267783927,0.02645838653129124,0.9165453951698491,0.09156977847729941,0.9084302215227006,0.8175871993704306,False,False,0.26134537176174444,1.335640297104201,0.002924939942043631,0.5472384018887084,0.031471564133194505
22,38841,1541,0.03967,0.14803742492425387,0.003996755926106963,0.9992710928487651,62601.500770960534,45.63068158998766,0.02833383441456173,0.9815128155852889,0.07037691415195328,0.07037691415195328,0.06333922273675796,False,False,0.26608932862538665,1.8644702017151666,0.00014895011005558424,2.809982331789726,0.4428830891111282
23,23873,1453,0.06086,0.20408434660207114,0.005729108270612859,0.9992119483750628,30466.73677993675,24.00936142596387,0.02858298821941473,0.9901437565633788,0.0906275599991083,0.19271256787808544,0.1734413110902769,False,False,0.17525346960863963,2.4263499895318215,0.00015179417985112712,2.4796760667291693,0.34047466107980295
24,476,236,0.4958,0.1814903493934002,0.042193598156380734,0.9459512005861298,561.7031703947227,30.35938198679932,0.02850913282377701,0.9875853306102262,0.05574538504548178,0.9442546149545181,0.8498291534590664,False,False,0.3214651234756496,2.779270305255761,0.00017131752448244165,0.4505125396228008,0.06923091406175295
25,1791,490,0.27359,0.17514601445421624,0.048321077113517026,0.9238845718475744,428.2790069932231,32.59863998598484,0.028483224826564887,0.9866878512603513,0.2037949843296229,0.5327095797253203,0.47943862175278834,False,False,0.22546044169496726,2.520572814107676,0.00025561713839439434,1.561684134741635,0.041488754242268645
26,24321,15461,0.63571,0.028707693160535747,0.005359952453921836,0.9651401685315149,34807.92427705237,1213.3983740658384,0.020355674241292778,0.7051412401648024,0.02945191843111239,0.9592107139571401,0.8632896425614262,False,False,0.21655248400164895,2.941096163137775,0.008010731709616446,0.41013107231572177,0.0748012816787565
27,40284,15449,0.3835,0.03354176813951761,0.007750414191613935,0.9466077872688308,16647.544148341534,888.8492186197827,0.02187995648774128,0.7579439260832829,0.006074107777767299,0.6609621032613301,0.5948658929351971,False,False,0.22228778151516243,1.827168642685789,0.009724153022886421,1.2154023211944087,0.07607356772206049
