index,total_counts,soft_counts,soft_frac,sigma_eff_marginal,sigma_eff_conditional,absorbed_fraction_I,bnorm2,R_residual_power,sigma_post_pred,shrink_pred,min_prior_edge_margin,kT_ceiling_margin_frac_range,kT_ceiling_margin_frac_value,rank_deficient,already_run_ns,theta_tbabs_1_nh,theta_powerlaw_1_alpha,theta_powerlaw_1_norm,theta_blackbodyrad_1_kT,theta_blackbodyrad_1_norm
13,92,32,0.34783,0.6309340892525036,0.20633595921827524,0.8930497370242365,23.48822278047166,2.5120716032047627,0.02883734529126099,0.9989549439974222,0.020774270285099306,0.4628585830965272,0.4165727247868745,False,False,0.2634953602191295,2.2577631527918958,0.0002006357481473991,1.7502818256393764,0.011003948282249343
14,3423,1722,0.50307,0.10120488432482203,0.020981405628373785,0.9570200194843483,2271.5946652176863,97.63309445051442,0.027760292859781054,0.9616447533226453,0.007846293255422333,0.5231261064328618,0.4708134957895757,False,False,0.19886570787038937,2.270409293133552,0.009645115073888683,1.587559512631273,0.014694798294549687
15,917,280,0.30534,0.24751672462277594,0.038014553806114175,0.976412022985877,691.9906163678538,16.322658752873718,0.028673162854983475,0.9932674975705603,0.022227321227686437,0.8015296700868829,0.7213767030781947,False,False,0.2501985475881197,1.9034171695113602,0.0015191314009535943,0.8358698907654161,0.9027039805961359
16,2029,292,0.14391,0.32868160422035575,0.03042438413101328,0.9914317368634724,1080.3299308902283,9.25655112213414,0.0287568144752581,0.9961652746995825,0.009765104493215822,0.009765104493215822,0.008788594043894241,False,False,0.1927165035935967,1.1991673248076244,0.0015960090973170908,2.9736342178683173,0.10532349769742387
17,3153,235,0.07453,0.2917658747497495,0.016785382422038257,0.9966902629579685,3549.25758815421,11.747109311225458,0.028727246689076516,0.9951410165409058,0.11808379205943688,0.30588718547867394,0.27529846693080656,False,False,0.30603202838121346,2.6799023675058837,0.0005946890465538054,2.1741045992075803,0.5805403573005091
18,173,26,0.15029,0.8016415771812194,0.10558030121373801,0.9826537610062781,89.70862634623482,1.556107272400286,0.028848814581916793,0.9993522518802748,0.12349016215558117,0.4205487887479661,0.3784939098731695,False,False,0.2326764701727374,1.6733342430573444,0.00017659578122472698,1.8645182703804914,0.033424599682051526
19,500,164,0.328,0.28270341479836797,0.07485815675670805,0.9298841586599874,178.45213226903536,12.512321392962624,0.0287181804283849,0.9948269520578549,0.2859259842989768,0.45769020302295865,0.4119211827206628,False,False,0.27735797106011506,1.9437363712917397,0.001130247394870515,1.7642364518380116,0.037312295533066524
20,7250,241,0.03324,0.34371534410837307,0.009006164164064743,0.999313434656326,12328.785083612573,8.46451656801274,0.028766236621997593,0.9964916674369659,0.017371887960077152,0.11020122323007613,0.09918110090706851,False,False,0.3175618166130701,1.9626243764669498,0.00013495406011353701,2.7024566972787945,0.9231158843595679
21,1535,412,0.2684,0.2087734840743045,0.039841678402506,0.96358128875103,629.9770796100039,22.94295335578612,0.02859544770790577,0.9905753659054349,0.09156977847729941,0.9084302215227006,0.8175871993704306,False,False,0.26134537176174444,1.335640297104201,0.002924939942043631,0.5472384018887084,0.031471564133194505
22,3853,136,0.0353,0.46734155388923737,0.01263884430038624,0.9992686151989016,6260.15768297216,4.5785841818049375,0.02881259874584658,0.9980976985180309,0.07037691415195328,0.07037691415195328,0.06333922273675796,False,True,0.26608932862538665,1.8644702017151666,0.00014895011005558424,2.809982331789726,0.4428830891111282
23,2424,145,0.05982,0.6471855206342216,0.01811703846083249,0.9992163595813728,3046.6712012464386,2.3874946955642495,0.028838839141733314,0.9990066924957618,0.0906275599991083,0.19271256787808544,0.1734413110902769,False,False,0.17525346960863963,2.4263499895318215,0.00015179417985112712,2.4796760667291693,0.34047466107980295
24,41,20,0.4878,0.573532526927267,0.13342786815648136,0.9458776073303607,56.17032099293836,3.0400721691594907,0.02883101640579923,0.9987357049739212,0.05574538504548178,0.9442546149545181,0.8498291534590664,False,False,0.3214651234756496,2.779270305255761,0.00017131752448244165,0.4505125396228008,0.06923091406175295
25,171,54,0.31579,0.5540523771554177,0.1528045432089832,0.9239374486470665,42.82796766492697,3.257604489855283,0.028828410163641634,0.9986454220972455,0.2037949843296229,0.5327095797253203,0.47943862175278834,False,False,0.22546044169496726,2.520572814107676,0.00025561713839439434,1.561684134741635,0.041488754242268645
26,2392,1522,0.63629,0.09091705137687715,0.016949640418145156,0.96524395955515,3480.7996097758237,120.97881201778674,0.027513894908326494,0.9531092779066417,0.02945191843111239,0.9592107139571401,0.8632896425614262,False,False,0.21655248400164895,2.941096163137775,0.008010731709616446,0.41013107231572177,0.0748012816787565
27,3964,1549,0.39077,0.10604514222607606,0.024508973042073216,0.9465843311979579,1664.7528679431314,88.9238878313,0.02785392255151809,0.9648881809863565,0.006074107777767299,0.6609621032613301,0.5948658929351971,False,False,0.22228778151516243,1.827168642685789,0.009724153022886421,1.2154023211944087,0.07607356772206049
